Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,104_1,81.875,340,69.9282051282051
2,104_2,72.25,190,59.9903846153846
3,105_1,86.125,372,66.9375
4,105_2,60.5,274,47.4195512820513
5,108_1,74.625,248,65.623717948718
6,108_2,87.125,256,72.5721153846154
7,110_1,77,370,48.1266025641026
8,110_2,83.375,350,56.9733974358974
9,114_1,86,260,65.4564102564103
10,114_2,76.875,224,59.8967948717949
11,119_1,62.125,86,41.3169871794872
12,119_2,76.375,194,60.9336538461538
13,122_1,87.125,430,66.4092948717949
14,122_2,70,368,47.6426282051282
15,123_1,86.25,302,72.3804487179487
16,123_2,60.25,230,46.624358974359
17,124_1,78.375,596,63.3352564102564
18,124_2,87.5,594,75.9320512820513
19,125_1,66.25,2498,42.4528846153846
20,125_2,82.375,164,61.0330128205128
21,126_1,63.625,734,45.6349358974359
22,126_2,62.875,154,42.1948717948718
