Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,104_1,71.75,348,61.7166666666667
2,104_2,80.625,324,73.0833333333333
3,105_1,82.125,938,54.60625
4,105_2,63.625,174,45.5354166666667
5,108_1,63.625,1374,43.8145833333333
6,108_2,85.625,282,73.5833333333333
7,110_1,55.625,362,41.7875
8,110_2,70.5,148,57.10625
9,114_1,80.25,256,56.8604166666667
10,114_2,71.125,216,44.2145833333333
11,119_1,63.625,192,44.93125
12,119_2,86.125,614,69.6895833333333
13,122_1,72.625,150,62.8520833333333
14,122_2,50,0,50
15,123_1,86.625,408,72.925
16,123_2,73.5,212,56.0875
17,124_1,76.25,484,57.2333333333333
18,124_2,79.25,592,62.2541666666667
19,125_1,61.5,1976,39.7229166666667
20,125_2,80,236,52.5520833333333
21,126_1,71.375,0,45.8125
22,126_2,74.25,198,59.0166666666667
