Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,104_1,81.5,466,53.4655172413793
2,104_2,92.5,434,63.8063660477454
3,105_1,83.5,58,52.7692307692308
4,105_2,87,502,70.7572944297082
5,108_1,82.5,268,69.393899204244
6,108_2,100,484,84.0809018567639
7,110_1,73,2296,47.6538461538462
8,110_2,86.5,516,60.2838196286472
9,114_1,76.5,158,61.4270557029178
10,114_2,71.5,614,48.8793103448276
11,119_1,68.5,48,43.3289124668435
12,119_2,91,508,71.1737400530504
13,122_1,81.5,898,59.1976127320955
14,122_2,79,548,54.0013262599469
15,123_1,97,624,72.1949602122016
16,123_2,90.5,484,55.0424403183024
17,124_1,74.5,1010,54.1870026525199
18,124_2,98.5,512,70.4310344827586
19,125_1,91,548,84.7679045092838
20,125_2,89,472,68.342175066313
21,126_1,72.5,1324,40.8846153846154
22,126_2,76.5,208,50.8050397877984
