Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,104_1,69.5,682,61.1458333333333
2,104_2,72.625,1610,39.7878787878788
3,105_1,84.625,396,74.3674242424242
4,105_2,71.625,22,55.6799242424242
5,108_1,74.125,1312,63.0511363636364
6,108_2,89.75,300,83.4147727272727
7,110_1,73.25,82,55.5037878787879
8,110_2,79.5,92,56.6287878787879
9,114_1,84.75,600,69.7253787878788
10,114_2,76.25,8,65.3712121212121
11,119_1,70.875,0,49.3011363636364
12,119_2,57.875,116,42.8977272727273
13,122_1,71.25,526,51.2007575757576
14,122_2,50,0,50
15,123_1,70.375,766,51.3503787878788
16,123_2,70,230,57.9469696969697
17,124_1,61,2244,47.4848484848485
18,124_2,73.875,2422,47.8068181818182
19,125_1,63.5,118,49.2746212121212
20,125_2,73.125,668,56.6136363636364
21,126_1,71,738,46.75
22,126_2,64.625,958,49.9753787878788
