Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,10_1,68.75,430,58.7422680412371
2,10_2,65.25,814,57.5807560137457
3,15_1,77.125,396,65.8861683848797
4,15_2,70.5,412,53.5493986254296
5,17_1,89.625,508,76.2104810996564
6,17_2,88.375,494,69.067439862543
7,18_1,88.625,500,73.1610824742268
8,18_2,89.625,464,78.7530068728522
9,23_1,67.125,32,46.0897766323024
10,23_2,68.75,236,42.6735395189003
11,24_1,70.25,730,61.0266323024055
12,24_2,78.375,506,68.9798109965636
13,25_1,78.875,590,62.84235395189
14,25_2,81.625,398,56.1911512027491
15,26_1,71.125,518,58.0274914089347
16,26_2,70.625,454,56.3496563573883
17,27_1,72.375,844,62.6954467353952
18,27_2,86.75,292,62.1387457044674
19,33_1,68.625,336,50.0287800687285
20,33_2,68.125,2080,44.9368556701031
21,37_1,64.25,2464,42.514175257732
22,37_2,59.125,130,43.7925257731959
23,38_1,80.25,228,55.951030927835
24,38_2,61.25,794,46.2474226804124
25,40_1,76.875,514,61.3182989690722
26,40_2,82,416,67.4561855670103
27,42_1,59.125,102,47.0682989690722
28,42_2,70.25,1558,38.9531786941581
29,7_1,73.75,1218,59.1623711340206
30,7_2,64.5,24,43.0133161512028
