Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,10_1,60.375,6,42.7544642857143
2,10_2,71.75,1056,55.5625
3,15_1,74.375,432,65.2946428571429
4,15_2,65.625,1292,52.2589285714286
5,17_1,78.25,556,67.4375
6,17_2,65.75,1324,54.625
7,18_1,77.875,498,56.1741071428571
8,18_2,67.25,682,46.8973214285714
9,23_1,60.625,1926,38.9107142857143
10,23_2,66.25,224,50.3169642857143
11,24_1,71.125,122,57.8928571428571
12,24_2,67,402,56.9821428571429
13,25_1,67.375,1284,51.09375
14,25_2,85,408,78.25
15,26_1,69.5,1552,52.8526785714286
16,26_2,74.5,456,62.4598214285714
17,27_1,63.625,108,53.2991071428571
18,27_2,75.75,696,62.3303571428571
19,33_1,66,328,57.3660714285714
20,33_2,85.375,2168,51.4241071428571
21,37_1,50,0,50
22,37_2,50,0,50
23,38_1,70.25,50,36.5625
24,38_2,59.5,214,40.8839285714286
25,40_1,76.125,744,49.4955357142857
26,40_2,88.25,338,81.3169642857143
27,42_1,60.125,22,39.59375
28,42_2,50,0,50
29,7_1,67.75,170,53.7767857142857
30,7_2,69.25,392,65.1339285714286
