Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,10_1,81,602,66.2843137254902
2,10_2,66.5,12,25.0843137254902
3,15_1,91,776,86.6039215686275
4,15_2,62.5,8,45.5529411764706
5,17_1,74,2096,55.5901960784314
6,17_2,90,750,81.7588235294118
7,18_1,69,310,48.4686274509804
8,18_2,84.5,540,50.8764705882353
9,23_1,59,28,31.5392156862745
10,23_2,77.5,210,67.878431372549
11,24_1,72.5,2,52.7470588235294
12,24_2,83,48,49.7745098039216
13,25_1,92,714,80.4411764705882
14,25_2,91,738,74.6882352941176
15,26_1,73,542,51.7921568627451
16,26_2,80,24,43.5725490196078
17,27_1,68,762,55.7647058823529
18,27_2,96.5,572,80.521568627451
19,33_1,89.5,544,71.9274509803922
20,33_2,79,276,50.2078431372549
21,37_1,61,8,42.0490196078431
22,37_2,75,360,63.9235294117647
23,38_1,73.5,2,53.1627450980392
24,38_2,95,500,74.1843137254902
25,40_1,88,278,71.878431372549
26,40_2,87,580,68.2078431372549
27,42_1,54,628,43.3
28,42_2,73,76,54.6666666666667
29,7_1,88,296,61.3098039215686
30,7_2,72.5,316,57.1254901960784
