Subject,ID,PeakAccuracy,PeakLatency_ms,MeanAccuracy_win
1,10_1,66.75,428,51.915
2,10_2,78.75,1010,70.5325
3,15_1,64.875,538,60.4725
4,15_2,62,436,44.7
5,17_1,68.625,544,62.525
6,17_2,77.5,454,70.5925
7,18_1,82.875,664,75.705
8,18_2,74.625,552,69.3975
9,23_1,70.25,198,47.2375
10,23_2,54.625,1526,34.34
11,24_1,73.25,2062,61.875
12,24_2,68.5,552,58.6475
13,25_1,78.5,102,64.5275
14,25_2,66.125,1558,42.5925
15,26_1,68.875,744,55.63
16,26_2,86.125,4,51.8575
17,27_1,66.125,976,59.2775
18,27_2,68.875,742,51.76
19,33_1,64.125,0,49.5625
20,33_2,78.125,130,52.6775
21,37_1,67.5,2454,51.48
22,37_2,50,0,50
23,38_1,68.625,528,56.355
24,38_2,66.625,26,43.6
25,40_1,68.5,1870,46.1875
26,40_2,73,448,61.295
27,42_1,50,0,50
28,42_2,58.375,2330,42.7
29,7_1,72.25,1222,58.1575
30,7_2,69.25,12,38.67
